Process,0,1,2,3,specificity
GOBP_CYTOPLASMIC_TRANSLATION,6.32,15.21,-19.29,42.58,-36.26
GOBP_RNA_PROCESSING,6.32,8.77,2.57,13.04,-6.73
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,5.81,4.85,0.51,17.22,-11.41
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,5.79,1.21,-0.3,7.93,-2.13
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,5.77,2.93,-4.01,3.76,2.01
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,5.62,-0.24,-0.87,5.0,0.62
GOBP_REGULATION_OF_PROTON_TRANSPORT,5.51,-2.14,1.2,-1.18,4.3
GOBP_POSITIVE_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS,5.45,1.93,-2.88,-0.19,3.51
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,5.41,3.49,-0.44,12.56,-7.14
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,5.23,1.6,-0.14,7.52,-2.29
GOBP_RIBOSOME_BIOGENESIS,5.05,3.97,-0.55,15.34,-10.29
GOBP_NCRNA_PROCESSING,4.9,3.79,0.81,10.17,-5.27
GOBP_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS,4.88,1.67,-2.35,0.28,3.2
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,4.85,1.5,-2.84,-0.6,3.35
GOBP_RIBOSOME_ASSEMBLY,4.85,2.63,-3.83,12.44,-7.59
GOBP_RRNA_PROCESSING,4.84,3.66,-0.52,12.02,-7.17
GOBP_OXIDATIVE_PHOSPHORYLATION,4.82,0.43,0.84,9.85,-5.03
GOBP_POSITIVE_REGULATION_OF_RESPIRATORY_BURST,4.81,1.35,-0.92,-2.33,3.46
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS,4.73,7.3,-0.88,23.88,-19.16
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,4.71,2.74,-2.55,7.53,-2.82
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,4.5,1.11,1.26,7.12,-2.62
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,4.46,9.16,-4.39,27.0,-22.54
GOBP_MRNA_PROCESSING,4.36,6.98,3.34,7.35,-2.99
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,4.31,9.16,-3.37,24.1,-19.79
GOBP_AEROBIC_RESPIRATION,4.31,-0.37,1.92,11.12,-6.81
