Process,0,1,2,specificity
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,4.89,10.55,-8.2,5.66
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.92,9.56,-7.45,5.65
GOBP_FIBRINOLYSIS,0.66,9.47,-4.96,8.81
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,6.77,8.61,-7.41,1.83
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.62,8.55,-3.68,6.93
GOBP_AMINO_ACID_METABOLIC_PROCESS,2.08,8.44,-4.28,6.36
GOBP_ORGANIC_ACID_METABOLIC_PROCESS,7.83,8.35,-9.95,0.52
GOBP_COMPLEMENT_ACTIVATION,-1.37,8.23,-3.04,9.6
GOBP_FORMATE_METABOLIC_PROCESS,-8.91,8.2,3.71,4.49
GOBP_HISTIDINE_CATABOLIC_PROCESS,-8.98,7.82,3.47,4.35
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,4.79,7.72,-7.25,2.93
GOBP_NEGATIVE_REGULATION_OF_FIBRINOLYSIS,0.72,7.7,-4.26,6.99
GOBP_FATTY_ACID_CATABOLIC_PROCESS,4.62,7.68,-7.3,3.06
GOBP_REGULATION_OF_FIBRINOLYSIS,1.45,7.66,-4.83,6.21
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY,-0.66,7.65,-1.76,8.31
GOBP_AMINO_ACID_CATABOLIC_PROCESS,2.62,7.63,-4.33,5.01
GOBP_NEGATIVE_REGULATION_OF_COAGULATION,0.66,7.4,-4.39,6.74
GOBP_HISTIDINE_METABOLIC_PROCESS,-8.08,7.38,2.62,4.76
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,-1.13,7.33,-3.81,8.46
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN,-1.7,7.15,-0.74,7.89
GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING,-0.07,7.07,-3.91,7.15
GOBP_REGULATION_OF_COAGULATION,0.4,6.87,-4.16,6.48
GOBP_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY,-1.59,6.7,0.38,6.32
GOBP_PLASMINOGEN_ACTIVATION,0.9,6.63,-3.17,5.73
GOBP_TRICARBOXYLIC_ACID_CYCLE,-0.03,6.52,-3.64,6.55
